Date,Open,High,Low,Close,Volume
2022-01-03,100.00,100.18,99.72,99.80,1923826
2022-01-04,99.80,100.18,99.27,99.53,1864169
2022-01-05,99.53,99.85,99.30,99.71,1955629
2022-01-06,99.71,100.77,99.41,100.19,1059631
2022-01-07,100.19,101.90,100.08,101.74,2027969
2022-01-10,101.74,102.50,101.04,101.62,897690
2022-01-11,101.62,101.69,100.77,101.15,1997292
2022-01-12,101.15,102.13,100.55,101.90,1179010
2022-01-13,101.90,103.39,101.84,103.12,2293404
2022-01-14,103.12,103.77,103.07,103.66,1231926
2022-01-17,103.66,103.67,102.32,102.39,1750396
2022-01-18,102.39,102.56,101.06,101.26,1176998
2022-01-19,101.26,101.51,100.70,101.08,1520320
2022-01-20,101.08,101.12,100.26,100.55,953513
2022-01-21,100.55,101.72,100.54,101.47,1825429
2022-01-24,101.47,102.26,100.50,100.92,962781
2022-01-25,100.92,101.58,100.70,101.13,2258140
2022-01-26,101.13,101.37,100.21,100.54,2471203
2022-01-27,100.54,100.72,98.22,98.59,2192828
2022-01-28,98.59,99.11,98.02,98.25,1449293
2022-01-31,98.25,99.13,96.11,96.24,1609063
2022-02-01,96.24,96.49,95.30,95.51,1768245
2022-02-02,95.51,95.89,94.41,94.66,1402788
2022-02-03,94.66,94.95,94.47,94.77,1619880
2022-02-04,94.77,96.17,94.59,95.97,1382670
2022-02-07,95.97,97.49,95.54,97.01,1953894
2022-02-08,97.01,97.37,96.43,96.89,1283920
2022-02-09,96.89,98.87,96.71,98.74,1286448
2022-02-10,98.74,98.79,98.62,98.73,1391251
2022-02-11,98.73,99.09,98.19,98.20,1574380
2022-02-14,98.20,98.40,97.05,97.54,2095185
2022-02-15,97.54,99.48,97.07,99.16,1757651
2022-02-16,99.16,101.15,98.72,100.79,1622878
2022-02-17,100.79,101.07,99.26,99.47,1809826
2022-02-18,99.47,99.56,99.07,99.29,1140374
2022-02-21,99.29,100.05,98.99,99.68,1014705
2022-02-22,99.68,100.39,99.41,100.39,853479
